"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","0",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","40",".75L","120","Edrington Americas","120","Lauren Wiseman",
="00028","Garrison Brothers Small Batch Bourbon","129",".75L","100","Garrison Brothers Distillery","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","394",".75L","100","Infinium Spirits","0","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","0","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","0",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","0",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","186",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","63",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","109",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","212",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","0",".75L","63","Park St Imp/ Trinity Beverage","1","Curtis Toth",
="00202","Ardbeg Corryvreckan","35",".75L","200","Moet Hennessy","100","Garrett Miller",
="00203","Ardbeg Uigeadail","0",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","0",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","33",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","25",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","40",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","129",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","38",".75L","110","Beam Suntory","110","Bill York",
="00218","Bruichladdich Port Charlotte 10Y","112",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00219","Bruichladdich Classic Laddie Scottish Barley","80",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00221","Ben Riach 10Y","131",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00222","Bruichladdich Islay Barley","61",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00225","The Macallan Rare Cask","11",".75L","48","Edrington Americas","48","Lauren Wiseman",
="00226","Aberlour A'Bunadh","0",".75L","52","Pernod Ricard USA","52","Jack Wooten",
="00227","The Dalmore 15Y","60",".75L","75","E & J Gallo Winery","75","Donavan Campbell",
="00229","The Dalmore Port Wood Reserve","58",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00231","The Dalmore Cigar Malt Reserve","0",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00237","GlenDronach 15Y Revival","80",".75L","100","Brown - Forman","50","Lauren Wiseman",
="00411","Hangar One Straight","26",".75L","56","WI, Inc","56","Lauren Wiseman",
="00605","Mt. Gay XO Triple Cask","70",".75L","100","Remy Cointreau USA","0","Lauren Wiseman",
="00659","D'Usse XO Cognac","54",".75L","25","Bacardi USA","120","Barry Sessoms",
="00668","Remy Martin Tercet","120",".75L","70","Remy Cointreau USA","0","Lauren Wiseman",
="00703","Grand Marnier 100Y","144",".75L","60","Campari America","60","Barry Sessoms",
="00707","Agavero Orange Tequila Liqueur","0",".75L","39","WI, Inc","64","Lauren Wiseman",
="00710","Cynar","0","1.00L","44","Campari America","44","Barry Sessoms",
="00806","Santo Fino Reposado","124",".75L","152","Shaw-Ross International","152","Barry Sessoms",
="00807","Adictivo Extra Anejo","0",".75L","156","Marsalle/Stoller Imports","156","Jeffrey A. Morse, Jr.",
="00810","Jose Cuervo Reserva de Familia","48",".75L","100","Proximo Spirits","100","Lauren Wiseman",
="00820","Mezcal Vago Elote","93",".75L","40","Heaven Hill","40","Nick Pourasef",
="00823","Patron Reposado","95","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00824","Patron Anejo","123","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00825","Los Vecinos Mezcal","0",".75L","112","Sazerac Co.","112","Rick Henry",
="00827","Casa Dragones 16 Joven Tequila","35",".75L","96","MHW/ Casa Dragones","96","Bill York",
="00828","Herradura Anejo Legend","130",".75L","100","Brown - Forman","0","Lauren Wiseman",
="00832","Azteca Azul Plata","433",".75L","120","Global Beverage Team LLC","300","Donavan Campbell",
="00834","Maestro Dobel 50 Cristalino Extra Añejo","187",".75L","39","Proximo Spirits","0","Lauren Wiseman",
="00838","Herradura Silver","5","1.75L","96","Brown - Forman","0","Lauren Wiseman",
="00840","Mezcal Vago Espadin Jarquin","132",".75L","30","Heaven Hill","0","Nick Pourasef",
="19016","AO Suntory World Whisky","0","700ML","102","Beam Suntory","0","Bill York",
="19017","On the Rocks Midori Sour","0",".375L","105","Beam Suntory","0","Bill York",
="19018","Field & Sound BIB Bourbon","0",".75L","96","Long Island Spirits","0","Jason Lemansky",
="19019","Glengarry Highland Blended Scotch Whisky","0","1.75L","55","Randolph Importing","0","Jason Lemansky",
="19020","Glengarry Highland Single Malt Scotch Whisky","0",".75L","125","Randolph Importing","0","Jason Lemansky",
="19021","Barrell Armida","0",".75L","80","MHW/ Barrell Craft","0","Barry Sessoms",
="19022","Filibuster Dual Cask Bourbon","0",".75L","100","Filibuster Barrels","0","Mark Fitlin",
="19023","Filibuster Triple Cask","0",".75L","100","Filibuster Barrels","0","Mark Fitlin",
="19024","Goslings Spirited Seas Ocean Aged","0",".75L","100","Castle Brands","0","Nick Pourasef",
="19025","Espanita Anejo Tequila","0",".75L","104","Double Eagle Imports","0","Jason Lemansky",
="19026","Espanita Blanco Tequila","0",".75L","104","Double Eagle Imports","0","Jason Lemansky",
="19027","Espanita Double Barrel Reposado","0",".75L","104","Double Eagle Imports","0","Jason Lemansky",
="19028","Espanita Reposado Tequila","0",".75L","104","Double Eagle Imports","0","Jason Lemansky",
="19029","Brookie's Byron Dry Gin","0","700ML","120","Park St Imp/ Anthem Imports","0","Jason Lemansky",
="19030","Cambus 40Y","0",".75L","24","Diageo NA","0","Garrett Miller",
="19031","Benchmark Bonded","0",".75L","70","Sazerac Co.","0","Rick Henry",
="19032","Benchmark Full Proof","0",".75L","70","Sazerac Co.","0","Rick Henry",
