"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","0",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","205",".75L","120","Edrington Americas","0","Lauren Wiseman",
="00028","Garrison Brothers Small Batch Bourbon","0",".75L","100","Garrison Brothers Distillery","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","0",".75L","100","Infinium Spirits","0","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","0","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","0",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","15",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","0",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","115",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","94",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","72",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","64",".75L","63","Park St Imp/ Trinity Beverage","1","Curtis Toth",
="00202","Ardbeg Corryvreckan","6",".75L","200","Moet Hennessy","100","Garrett Miller",
="00203","Ardbeg Uigeadail","9",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","38",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","0",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","0",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","3",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","38",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","69",".75L","110","Beam Suntory","110","Bill York",
="00218","Bruichladdich Port Charlotte 10Y","10",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00219","Bruichladdich Classic Laddie Scottish Barley","88",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00221","Ben Riach 10Y","7",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00222","Bruichladdich Islay Barley","49",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00225","The Macallan Rare Cask","15",".75L","48","Edrington Americas","48","Lauren Wiseman",
="00226","Aberlour A'Bunadh","0",".75L","52","Pernod Ricard USA","52","Jack Wooten",
="00227","The Dalmore 15Y","0",".75L","75","E & J Gallo Winery","75","Donavan Campbell",
="00229","The Dalmore Port Wood Reserve","155",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00231","The Dalmore Cigar Malt Reserve","428",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00237","GlenDronach 15Y Revival","15",".75L","100","Brown - Forman","50","Lauren Wiseman",
="00411","Hangar One Straight","184",".75L","56","WI, Inc","56","Lauren Wiseman",
="00659","D'Usse XO Cognac","0",".75L","25","Bacardi USA","30","Barry Sessoms",
="00668","Remy Martin Tercet","41",".75L","70","Remy Cointreau USA","0","Lauren Wiseman",
="00703","Grand Marnier 100Y","172",".75L","60","Campari America","60","Barry Sessoms",
="00707","Agavero Orange Tequila Liqueur","38",".75L","39","WI, Inc","64","Lauren Wiseman",
="00710","Cynar","0","1.00L","44","Campari America","44","Barry Sessoms",
="00806","Santo Fino Reposado","0",".75L","152","Shaw-Ross International","152","Barry Sessoms",
="00807","Adictivo Extra Anejo","104",".75L","156","Marsalle/Stoller Imports","156","Jeffrey A. Morse, Jr.",
="00810","Jose Cuervo Reserva de Familia","21",".75L","100","Proximo Spirits","100","Lauren Wiseman",
="00820","Mezcal Vago Elote","16",".75L","40","Heaven Hill","40","Nick Pourasef",
="00823","Patron Reposado","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00824","Patron Anejo","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00825","Los Vecinos Mezcal","0",".75L","112","Sazerac Co.","112","Rick Henry",
="00827","Casa Dragones 16 Joven Tequila","18",".75L","96","MHW/ Casa Dragones","96","Bill York",
="00832","Azteca Azul Plata","0",".75L","120","Global Beverage Team LLC","0","Donavan Campbell",
="00834","Maestro Dobel 50 Cristalino Extra Añejo","0",".75L","39","Proximo Spirits","0","Lauren Wiseman",
="00838","Herradura Silver","0","1.75L","96","Brown - Forman","0","Lauren Wiseman",
="19310","Old Elk Four Grain","0",".75L","100","Old Elk Distillery","0","Barry Sessoms",
="19311","Old Elk Double Wheat","0",".75L","100","Old Elk Distillery","0","Barry Sessoms",
="19312","Bardstown Bourbon Co. Discovery Series","0",".75L","100","Bardstown Bourbon Company","0","Nick Pourasef",
="19313","American Highway","0",".75L","100","Bardstown Bourbon Company","0","Nick Pourasef",
="19314","Knob Creek Rye W/ Jigger","87",".75L","50","Beam Suntory","0","Bill York",
="19315","Hendrick's Neptunia Gin","85",".75L","120","William Grant & Sons","0","Donavan Campbell",
="19316","Sagamore Double Oak Rye","0",".75L","95","Sagamore Spirit","0","Lauren Wiseman",
="19323","Barrell Craft Gray Label Seagrass","0",".75L","80","MHW/ Barrell Craft","0","Barry Sessoms",
="19324","Barrell Craft Gold Label Bourbon","0",".75L","80","MHW/ Barrell Craft","0","Barry Sessoms",
="19325","Royal Lochnagar 16YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19326","Talisker 8YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19327","Singleton of Glendullan 19YR","0",".75L","72","Diageo NA","0","Garrett Miller",
="19328","Oban 12YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19329","Mortlach 13YR","0",".75L","96","Diageo NA","0","Garrett Miller",
="19330","Lagavulin 26YR","0",".75L","48","Diageo NA","0","Garrett Miller",
="19331","Lagavulin 12Y","0",".75L","80","Diageo NA","0","Garrett Miller",
="19332","Cardhu 14YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19334","Clase Azul Gold","0",".75L","56","Tequilas Premium","0","Barry Sessoms",
="19335","Capt. Morgan Orig Spiced Rum W/ NFL Ice Mold","0","1.75L","40","Diageo NA","0","Garrett Miller",
="19340","Michter's Sour Mash Whiskey","0",".75L","120","Chatham Imports","0","Nick Pourasef",
="19341","Hibiki Harmony Ryusui-Hyakka Tribute LTO","0",".75L","90","Beam Suntory","0","Bill York",
="19345","Teeling Pot Still","0",".75L","100","Bacardi USA","0","Barry Sessoms",
="19346","Stillhouse Black Bourbon Daytona 500- Limited Ed","0",".75L","78","Bacardi USA","0","Barry Sessoms",
="19347","Van Gogh Double Espresso","0","50ML","55","MHW/ Conecuh Ridge","0","Donavan Campbell",
="19348","Blackened American Whiskey","0",".375L","85","MHW/ Sweet Amber Ventures","0","Nick Pourasef",
="19349","Jameson Orange","0","50ML","54","Pernod Ricard USA","0","Jack Wooten",
="19351","Jefferson's Rye Cognac Single Barrel (BTB)","0",".75L","36","Pernod Ricard USA","0","Jack Wooten",
="19353","Foursquare Indelible","0",".75L","80","Altamar Brands LLC","0","Nick Pourasef",
="19356","Pusser's British Navy 1L","0","1.00L","55","Shaw-Ross International","0","Barry Sessoms",
="19358","Widow Jane Lucky 13 Small Batch Bourbon","0",".75L","100","Heaven Hill","0","Nick Pourasef",
="19359","Widow Jane Decadence","0",".75L","100","Heaven Hill","0","Nick Pourasef",
="19360","Orphan Barrel - Muckety Muck 25Y","0",".75L","100","Diageo NA","0","Garrett Miller",
="19361","High N' Wicked The Wild Rover","0",".75L","100","Altamar Brands LLC","0","Nick Pourasef",
="19362","Jim Beam Orange PET","0","1.75L","52","Beam Suntory","0","Bill York",
="19363","Jim Beam Red Stag PET","0","1.75L","52","Beam Suntory","0","Bill York",
="19364","Jim Beam Vanilla PET","182","1.75L","52","Beam Suntory","0","Bill York",
="19365","Jim Beam Peach PET","169","1.75L","52","Beam Suntory","0","Bill York",
="19366","Jim Beam Honey PET","12","1.75L","52","Beam Suntory","0","Bill York",
="19367","Jim Beam Apple PET","711","1.75L","52","Beam Suntory","0","Bill York",
="19371","Clase Azul Plata","0",".75L","48","Tequilas Premium","0","Barry Sessoms",
="19372","Little Book Chapter 5 "The Invitation"","0",".75L","52","Beam Suntory","0","Bill York",
="19373","Maker's Mark Wood Finishing Series FAE 2","0",".75L","85","Beam Suntory","0","Bill York",
="19375","Glenmorangie Tale of Winter GB","0",".75L","110","Moet Hennessy","0","Garrett Miller",
="19378","Ciroc Pomegranate","3059",".75L","60","Diageo NA","0","Garrett Miller",
="19388","Blackened X Willett","0",".75L","92","MHW/ Sweet Amber Ventures","0","Nick Pourasef",
="19389","Middle West Dark Pumpernickel Rye","0",".75L","80","Middle West Spirits","0","Jason Lemansky",
="19390","Don Julio 1942 Ultima Reserva","0",".75L","21","Diageo NA","0","Garrett Miller",
="19391","Don Julio Reposado Primavera","0",".75L","80","Diageo NA","0","Garrett Miller",
="19398","Foursquare 2009 Rum","0",".75L","80","Altamar Brands LLC","240","Nick Pourasef",
="19401","Glen Moray Tasting Collection","0","200ML","100","Sazerac/ 375 Park Ave Spirits","0","Nick Pourasef",
="19403","Magellan Gin Glass Pack","0",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19404","Henri Bardouin (HB) Pastis Glass Pack","0",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19406","Gin XII Glass Pack","0",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19410","Amador D. B. Cabernet Barrel Finish","45",".75L","100","Trinchero Family Estates","300","Nick Pourasef",
="19411","Russell's Reserve 13Y","0",".75L","120","Campari America","360","Barry Sessoms",
="19420","Ciroc W/ 2 GLS","0",".75L","32","Diageo NA","0","Garrett Miller",
="19421","Smirnoff 80 w/ 50ML","0","1.75L","44","Diageo NA","132","Garrett Miller",
="19423","H Deringer Bourbon Whiskey VAP","0",".75L","42","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="19426","Meiyo 15Y Japanese Whisky","0",".75L","150","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="19427","Makoto 23Y Japanese Whisky","0",".75L","150","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="19429","NC Creek Water Mud Mouth Coffee Whiskey RTD","71",".355L","19","MHW/ Creekwater","57","Amy Edwards",
="19430","BBC Collaborative Series Plantation Rum","0",".75L","100","Bardstown Bourbon Company","300","Nick Pourasef",
="19434","Devils River Coffee","0",".75L","80","Sazerac/ 375 Park Ave Spirits","0","Nick Pourasef",
="19440","Tres Generaciones Legacy","0",".75L","78","Beam Suntory","0","Bill York",
="19441","Jim Beam Bourbon Cream","0",".75L","70","Beam Suntory","0","Bill York",
="19450","Weller Special Reserve","0",".75L","50","Sazerac Co.","150","Rick Henry",
="19453","Disaronno Velvet Batita w/ 2 GLS","0",".75L","40","Disaronno International","0","Lauren Wiseman",
="19455","Amarula VAP w/ Glass","0",".75L","40","Terlato Artisan Spirits","0","Barry Sessoms",
="19457","Amarula Vanilla Spice","0",".75L","115","Terlato Artisan Spirits","0","Barry Sessoms",
="19461","Gran Centenario Reposado w/ MNT GLS","0",".75L","40","Proximo Spirits","0","Lauren Wiseman",
="19469","Hennessy VSOP Julien Colombier VAP","0",".75L","50","Moet Hennessy","0","Garrett Miller",
="19470","Hennessy XO 2022 Julien Colombier VAP","0",".75L","18","Moet Hennessy","0","Garrett Miller",
="19480","Monkey 47 w/ 2 GLS","0",".375L","28","Pernod Ricard USA","0","Jack Wooten",
="19493","Larios Rose","217","700ML","140","Beam Suntory","420","Bill York",
="19494","Larios Premium Gin","485","700ML","140","Beam Suntory","420","Bill York",
="19498","Royal Portrush Open Course Coll. SM Scotch","19",".75L","44","Randolph Importing","132","Jason Lemansky",
="19500","Grand Mayan Reposado","0",".75L","48","M. S. Walker","0","Nick Pourasef",
="19505","Midnight Moon Party Pk 4/ 50ML","0","200ML","72","Piedmont Distillers","0","Donavan Campbell",
="19509","Pinhook Bourbon (High Proof)","0",".75L","21","Pinhook Bourbon","0","Nick Pourasef",
="19510","I.W. Harper Cabernet Cask Reserve","0",".75L","48","Diageo NA","0","Garrett Miller",
