"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="19353","Foursquare Indelible","0",".75L","80","Altamar Brands LLC","0","Nick Pourasef",
="19356","Pusser's British Navy 1L","55","1.00L","55","Shaw-Ross International","0","Barry Sessoms",
="19358","Widow Jane Lucky 13 Small Batch Bourbon","0",".75L","100","Heaven Hill","0","Nick Pourasef",
="19359","Widow Jane Decadence","0",".75L","100","Heaven Hill","0","Nick Pourasef",
="19360","Orphan Barrel - Muckety Muck 25Y","0",".75L","100","Diageo NA","0","Garrett Miller",
="19361","High N' Wicked The Wild Rover","0",".75L","100","Altamar Brands LLC","0","Nick Pourasef",
="19362","Jim Beam Orange PET","0","1.75L","52","Beam Suntory","0","Bill York",
="19363","Jim Beam Red Stag PET","219","1.75L","52","Beam Suntory","0","Bill York",
="19364","Jim Beam Vanilla PET","48","1.75L","52","Beam Suntory","0","Bill York",
="19365","Jim Beam Peach PET","32","1.75L","52","Beam Suntory","0","Bill York",
="19366","Jim Beam Honey PET","11","1.75L","52","Beam Suntory","0","Bill York",
="19367","Jim Beam Apple PET","510","1.75L","52","Beam Suntory","0","Bill York",
="19371","Clase Azul Plata","0",".75L","48","Tequilas Premium","0","Barry Sessoms",
="19372","Little Book Chapter 5 "The Invitation"","0",".75L","52","Beam Suntory","0","Bill York",
="19373","Maker's Mark Wood Finishing Series FAE 2","0",".75L","85","Beam Suntory","0","Bill York",
="19375","Glenmorangie Tale of Winter GB","0",".75L","110","Moet Hennessy","0","Garrett Miller",
="19378","Ciroc Pomegranate","384",".75L","60","Diageo NA","0","Garrett Miller",
="19388","Blackened X Willett","0",".75L","92","MHW/ Sweet Amber Ventures","0","Nick Pourasef",
="19389","Middle West Dark Pumpernickel Rye","0",".75L","80","Middle West Spirits","0","Jason Lemansky",
="19390","Don Julio 1942 Ultima Reserva","0",".75L","21","Diageo NA","0","Garrett Miller",
="19391","Don Julio Reposado Primavera","0",".75L","80","Diageo NA","0","Garrett Miller",
="19398","Foursquare 2009 Rum","0",".75L","80","Altamar Brands LLC","240","Nick Pourasef",
="19403","Magellan Gin Glass Pack","0",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19404","Henri Bardouin (HB) Pastis Glass Pack","0",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19406","Gin XII Glass Pack","1",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19410","Amador D. B. Cabernet Barrel Finish","0",".75L","100","Trinchero Family Estates","300","Nick Pourasef",
="19411","Russell's Reserve 13Y","0",".75L","120","Campari America","360","Barry Sessoms",
="19420","Ciroc W/ 2 GLS","0",".75L","32","Diageo NA","0","Garrett Miller",
="19421","Smirnoff 80 w/ 50ML","0","1.75L","44","Diageo NA","132","Garrett Miller",
="19423","H Deringer Bourbon Whiskey VAP","0",".75L","42","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="19426","Meiyo 15Y Japanese Whisky","0",".75L","150","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="19427","Makoto 23Y Japanese Whisky","0",".75L","150","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="19429","NC Creek Water Mud Mouth Coffee Whiskey RTD","72",".355L","19","MHW/ Creekwater","57","Amy Edwards",
="19430","BBC Collaborative Series Plantation Rum","0",".75L","100","Bardstown Bourbon Company","300","Nick Pourasef",
="19434","Devils River Coffee","0",".75L","80","Sazerac/ 375 Park Ave Spirits","0","Nick Pourasef",
="19440","Tres Generaciones Legacy","0",".75L","78","Beam Suntory","0","Bill York",
="19441","Jim Beam Bourbon Cream","0",".75L","70","Beam Suntory","0","Bill York",
="19450","Weller Special Reserve","0",".75L","50","Sazerac Co.","150","Rick Henry",
="19453","Disaronno Velvet Batita w/ 2 GLS","0",".75L","40","Disaronno International","0","Lauren Wiseman",
="19455","Amarula VAP w/ Glass","0",".75L","40","Terlato Artisan Spirits","0","Barry Sessoms",
="19457","Amarula Vanilla Spice","0",".75L","115","Terlato Artisan Spirits","0","Barry Sessoms",
="19459","1800 Tequila Variety Pack .375L","0","1.125L","63","Proximo Spirits","0","Lauren Wiseman",
="19460","1800 Reposado w/ Ceramic Cup","0",".75L","40","Proximo Spirits","0","Lauren Wiseman",
="19461","Gran Centenario Reposado w/ MNT GLS","0",".75L","40","Proximo Spirits","0","Lauren Wiseman",
="19469","Hennessy VSOP Julien Colombier VAP","0",".75L","50","Moet Hennessy","0","Garrett Miller",
="19470","Hennessy XO 2022 Julien Colombier VAP","0",".75L","18","Moet Hennessy","0","Garrett Miller",
="19480","Monkey 47 w/ 2 GLS","0",".375L","28","Pernod Ricard USA","0","Jack Wooten",
="19493","Larios Rose","228","700ML","140","Beam Suntory","420","Bill York",
="19494","Larios Premium Gin","522","700ML","140","Beam Suntory","420","Bill York",
="19497","Country Smooth Sm Batch Bourbon Wsk","0",".75L","120","Country Smooth Spirits","360","Jason Lemansky",
="19498","Royal Portrush Open Course Coll. SM Scotch","0",".75L","44","Randolph Importing","132","Jason Lemansky",
="19500","Grand Mayan Reposado","0",".75L","48","M. S. Walker","0","Nick Pourasef",
="19505","Midnight Moon Party Pk 4/ 50ML","0","200ML","72","Piedmont Distillers","0","Donavan Campbell",
="19509","Pinhook Bourbon (High Proof)","0",".75L","21","Pinhook Bourbon","0","Nick Pourasef",
="19510","I.W. Harper Cabernet Cask Reserve","0",".75L","48","Diageo NA","0","Garrett Miller",
="19511","Orphan Barrel - Fable & Folly 14YR","0",".75L","100","Diageo NA","0","Garrett Miller",
="19553","A. Smith Bowman Cask Strength","0",".75L","120","Sazerac Co.","0","Rick Henry",
="19555","Roca Patron Reposado","0",".375L","48","Bacardi USA","0","Barry Sessoms",
="19565","Sombra Mezcal Reposado","0",".75L","80","Diageo NA","0","Barry Sessoms",
="19570","Pikesville Rye Whiskey","0",".75L","90","Heaven Hill","0","Nick Pourasef",
="19573","Calumet Farm 15Y Old Bourbon","0",".75L","88","Western Spirits Bev Co.","0","Donavan Campbell",
="19579","Maker's Mark 46 Cask & Priv. Sel. 375ML CoPk","0",".75L","40","Beam Suntory","0","Bill York",
="19580","Jim Beam W/ Highball Glass","0",".75L","45","Beam Suntory","0","Bill York",
="19581","Jim Beam Peach W/ Highball GLS","0",".75L","45","Beam Suntory","0","Bill York",
="19582","Jefferson's Ocean Aged at Sea","0",".375L","98","Pernod Ricard USA","0","Jack Wooten",
="19583","Tia Maria Cold Brew Coffee Frappe 4Pk","82","800ML","150","Disaronno International","0","Lauren Wiseman",
="19585","Mamitas Tequila and Soda Pineapple 4Pk","29","1.42L","104","Phusion Projects","0","Bill York",
="19586","Cutwater Vodka Soda Variety 8Pk","275","2.84L","100","Sazerac Co.","0","Donavan Campbell",
="19587","Cutwater Vodka Mule 4Pk","128","1.42L","100","Sazerac Co.","0","Donavan Campbell",
="19588","Cutwater Tequila Variety 6Pk","284","2.13L","100","Sazerac Co.","0","Donavan Campbell",
="19589","Cutwater Lime Margarita 4Pk","271","1.42L","100","Sazerac Co.","0","Donavan Campbell",
="19593","Tia Maria Matcha","106",".75L","50","Disaronno International","0","Lauren Wiseman",
="19594","Svedka Cherry Limeade","0","50ML","102","Constellation Brands","306","Bill York",
="19595","Ciroc Celebration VAP W/ 3x 50ml","0",".75L","32","Diageo NA","0","Garrett Miller",
="19603","JP Wiser's 23Y","0",".75L","50","Sazerac Co.","0","Barry Sessoms",
="19605","Bacardi Variety RTD 6Pk","0","2.13L","104","Bacardi USA","0","Barry Sessoms",
="19606","Bacardi Bahama Mama RTD 4Pk","0","1.42L","104","Bacardi USA","0","Barry Sessoms",
="19607","Hine Rare VSOP","0",".75L","105","Hotaling & Co.","0","Barry Sessoms",
="19608","Old Elk Sour Mash Small Batch Res","17",".75L","54","Old Elk Distillery","0","Barry Sessoms",
="19609","Lock Stock & Barrel 20Y","0",".75L","152","The Cooper Spirits Co.","0","Barry Sessoms",
="19611","Courage & Conviction Sherry Cask","10",".75L","80","Park St Imp/ Virginia Distillery","0","Lauren Wiseman",
="19612","Courage & Conviction Cuvee Cask","8",".75L","80","Park St Imp/ Virginia Distillery","0","Lauren Wiseman",
="19613","Courage & Conviction Bourbon Cask","3",".75L","80","Park St Imp/ Virginia Distillery","0","Lauren Wiseman",
="19614","Five Farms Irish Cream","0","50ML","165","McCormick Distilling Co.","0","Donavan Campbell",
="19615","The All Malt Bourbon Whiskey","1",".75L","40","Weldon Mills Distillery","0","Bruce Tyler",
="19616","The Club Long Island Iced Tea 4Pk","463","800ML","165","Sazerac Co.","0","Barry Sessoms",
="19620","Caribou Crossing","0",".75L","198","Sazerac Co.","0","Rick Henry",
="19622","Maker's Mark Wood Finishing Series 2021","0",".75L","85","Beam Suntory","0","Bill York",
="19623","Redbreast 27Y","0",".75L","72","Pernod Ricard USA","0","Jack Wooten",
="19626","Red Spot","0",".75L","80","Pernod Ricard USA","0","Jack Wooten",
="19628","George Dickel Single Barrel 15Y","162",".75L","45","Diageo NA","0","Garrett Miller",
="19629","Smooth Ambler Old Scout Rye","0",".75L","96","Pernod Ricard USA","0","Jack Wooten",
="19636","Party Can:Triple Spice Margarita","93","1.75L","90","MHW/ CNI Brands","0","Jason Lemansky",
="19640","Stoli elit","0",".375L","77","Stoli Group USA","0","Donavan Campbell",
="19642","Capt. Morgan Spiced 70 w/ 50ML","0","1.75L","40","Diageo NA","0","Garrett Miller",
="19643","Ketel One w/ Filthy Olives","0","1.75L","56","Diageo NA","0","Garrett Miller",
="19651","Maker's Mark","0","1.00L","42","Beam Suntory","0","Bill York",
="19653","NC Conniption Barrel Aged Gin","0",".75L","39","Durham Distillery","0","Melissa Katrincic",
="19655","Redemption Rye Rum Cask Finish","0",".75L","104","Deutsch Family W & S","0","Barry Sessoms",
="19659","Blanton's Straight From The Barrel","0",".75L","90","Sazerac Co.","0","Rick Henry",
="19661","JP Wiser's 35Y","0",".75L","100","Sazerac/ 375 Park Ave Spirits","0","Barry Sessoms",
="19662","Patron Anejo Sherry Cask","3",".75L","21","Bacardi USA","0","Barry Sessoms",
="19663","Tenjaku Pure Malt Whisky","0",".75L","120","MHW/ Tenjaku","0","Bill York",
="19664","Kinky Red Liqueur","82","50ML","160","Associated Brewing","0","Jason Lemansky",
="19673","99 Brands Candy Cane","0","250ML","14","Sazerac Co.","0","Rick Henry",
="19679","Crystal Head Onyx","0",".75L","56","Infinium Spirits","0","Lauren Wiseman",
="19688","Courage & Conviction","0","50ML","104","Park St Imp/ Virginia Distillery","0","Lauren Wiseman",
