"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","0",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","198",".75L","120","Edrington Americas","320","Lauren Wiseman",
="00028","Garrison Brothers Small Batch Bourbon","70",".75L","100","Garrison Brothers Distillery","300","Lauren Wiseman",
="00029","Garrison Brothers Single Barrel Sampler","0",".75L","200","Garrison Brothers Distillery","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","336",".75L","100","Infinium Spirits","300","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","0","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","0",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","127",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","151",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","107",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","65",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","176",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","37",".75L","63","Park St Imp/ Trinity Beverage","63","Curtis Toth",
="00141","Wyoming Whiskey Double Cask","0",".75L","120","Edrington Americas","0","Lauren Wiseman",
="00202","Ardbeg Corryvreckan","20",".75L","200","Moet Hennessy","100","Garrett Miller",
="00203","Ardbeg Uigeadail","25",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","0",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","72",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","28",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","16",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","71",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","6",".75L","110","Beam Suntory","110","Bill York",
="00218","Bruichladdich Port Charlotte 10Y","64",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00219","Bruichladdich Classic Laddie Scottish Barley","0",".75L","75","Remy Cointreau USA","300","Lauren Wiseman",
="00221","Ben Riach 10Y","98",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00222","Bruichladdich Islay Barley","38",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00225","The Macallan Rare Cask","9",".75L","48","Edrington Americas","48","Lauren Wiseman",
="00226","Aberlour A'Bunadh","0",".75L","52","Pernod Ricard USA","52","Jack Wooten",
="00227","The Dalmore 15Y","267",".75L","75","E & J Gallo Winery","75","Donavan Campbell",
="00229","The Dalmore Port Wood Reserve","0",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00231","The Dalmore Cigar Malt Reserve","77",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00237","GlenDronach 15Y Revival","54",".75L","100","Brown - Forman","50","Lauren Wiseman",
="00411","Hangar One Straight","30",".75L","56","WI, Inc","56","Lauren Wiseman",
="00605","Mt. Gay XO Triple Cask","44",".75L","100","Remy Cointreau USA","300","Lauren Wiseman",
="00659","D'Usse XO Cognac","38",".75L","25","Bacardi USA","120","Barry Sessoms",
="00668","Remy Martin Tercet","102",".75L","70","Remy Cointreau USA","210","Lauren Wiseman",
="00703","Grand Marnier 100Y","132",".75L","60","Campari America","60","Barry Sessoms",
="00707","Agavero Orange Tequila Liqueur","8",".75L","39","WI, Inc","64","Lauren Wiseman",
="00710","Cynar","0","1.00L","44","Campari America","44","Barry Sessoms",
="00806","Santo Fino Reposado","92",".75L","152","Shaw-Ross International","152","Barry Sessoms",
="00807","Adictivo Extra Anejo","0",".75L","156","Marsalle/Stoller Imports","156","Jeffrey A. Morse, Jr.",
="00808","Cava De Oro Extra Anejo","88",".75L","100","Marsalle/Stoller Imports","0","Jeffrey A. Morse, Jr.",
="00810","Jose Cuervo Reserva de Familia","102",".75L","100","Proximo Spirits","100","Lauren Wiseman",
="00820","Mezcal Vago Elote","51",".75L","40","Heaven Hill","40","Nick Pourasef",
="00823","Patron Reposado","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00824","Patron Anejo","95","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00825","Los Vecinos Mezcal","0",".75L","112","Sazerac Co.","112","Rick Henry",
="00827","Casa Dragones 16 Joven Tequila","26",".75L","96","MHW/ Casa Dragones","96","Bill York",
="00828","Herradura Anejo Legend","111",".75L","100","Brown - Forman","300","Lauren Wiseman",
