"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","0",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","182",".75L","120","Edrington Americas","320","Lauren Wiseman",
="00028","Garrison Brothers Small Batch Bourbon","212",".75L","100","Garrison Brothers Distillery","300","Lauren Wiseman",
="00029","Garrison Brothers Single Barrel Sampler","245",".75L","200","Garrison Brothers Distillery","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","141",".75L","100","Infinium Spirits","300","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","63","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","0",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","119",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","18",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","91",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","200",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","150",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","0",".75L","63","Park St Imp/ Trinity Beverage","63","Curtis Toth",
="00141","Wyoming Whiskey Double Cask","89",".75L","120","Edrington Americas","0","Lauren Wiseman",
="00202","Ardbeg Corryvreckan","64",".75L","200","Moet Hennessy","100","Garrett Miller",
="00203","Ardbeg Uigeadail","56",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","119",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","17",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","23",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","52",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","49",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","272",".75L","110","Beam Suntory","110","Bill York",
="00218","Bruichladdich Port Charlotte 10Y","15",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00219","Bruichladdich Classic Laddie Scottish Barley","2",".75L","75","Remy Cointreau USA","300","Lauren Wiseman",
="00221","Ben Riach 10Y","100",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00222","Bruichladdich Islay Barley","23",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00225","The Macallan Rare Cask","142",".75L","48","Edrington Americas","48","Lauren Wiseman",
="00226","Aberlour A'Bunadh","0",".75L","52","Pernod Ricard USA","52","Jack Wooten",
="00227","The Dalmore 15Y","346",".75L","75","E & J Gallo Winery","75","Donavan Campbell",
="00229","The Dalmore Port Wood Reserve","46",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00231","The Dalmore Cigar Malt Reserve","114",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00237","GlenDronach 15Y Revival","33",".75L","100","Brown - Forman","50","Lauren Wiseman",
="00411","Hangar One Straight","70",".75L","56","WI, Inc","204","Lauren Wiseman",
="00605","Mt. Gay XO Triple Cask","97",".75L","100","Remy Cointreau USA","300","Lauren Wiseman",
="00610","Santa Teresa 1796","238",".75L","116","Bacardi USA","0","Barry Sessoms",
="00659","D'Usse XO Cognac","118",".75L","25","Bacardi USA","120","Barry Sessoms",
="00668","Remy Martin Tercet","56",".75L","70","Remy Cointreau USA","210","Lauren Wiseman",
="00703","Grand Marnier 100Y","95",".75L","60","Campari America","60","Barry Sessoms",
="00707","Agavero Orange Tequila Liqueur","2",".75L","39","WI, Inc","204","Lauren Wiseman",
="00710","Cynar","436","1.00L","44","Campari America","132","Barry Sessoms",
="00806","Santo Fino Reposado","38",".75L","152","Shaw-Ross International","152","Barry Sessoms",
="00807","Adictivo Extra Anejo","81",".75L","156","Marsalle/Stoller Imports","156","Jeffrey A. Morse, Jr.",
="00808","Cava De Oro Extra Anejo","112",".75L","100","Marsalle/Stoller Imports","0","Jeffrey A. Morse, Jr.",
="00810","Jose Cuervo Reserva de Familia","34",".75L","100","Proximo Spirits","100","Lauren Wiseman",
="00820","Mezcal Vago Elote","80",".75L","40","Heaven Hill","40","Nick Pourasef",
="00823","Patron Reposado","54","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00824","Patron Anejo","62","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00825","Los Vecinos Mezcal","256",".75L","112","Sazerac Co.","456","Rick Henry",
="00827","Casa Dragones 16 Joven Tequila","87",".75L","96","MHW/ Casa Dragones","96","Bill York",
="00828","Herradura Anejo Legend","0",".75L","100","Brown - Forman","300","Lauren Wiseman",
="00832","Azteca Azul Plata","347",".75L","120","Global Beverage Team LLC","300","Donavan Campbell",
="00834","Maestro Dobel 50 Cristalino Extra Añejo","54",".75L","39","Proximo Spirits","117","Lauren Wiseman",
="00838","Herradura Silver","233","1.75L","96","Brown - Forman","288","Lauren Wiseman",
="00840","Mezcal Vago Espadin Jarquin","0",".75L","30","Heaven Hill","90","Nick Pourasef",
="18635","Doc Swinson's Exploratory Cask L'Esprit","0",".75L","112","Distillers Way","0","Mark Fitlin",
="18636","Doc Swinson's Exploratory Cask Moscatel","0",".75L","112","Distillers Way","0","Mark Fitlin",
="18637","High N' Wicked The Jury","0",".75L","80","Altamar Brands LLC","0","Nick Pourasef",
="18638","Monaco Tequila 6Pk","0","2.13L","104","Atomic Brands","0","James Dennis Heagney",
="18639","Monaco Blue Crush 4Pk","0","1.42L","104","Atomic Brands","0","James Dennis Heagney",
="18640","Monaco Citrus Rush 4Pk","0","1.42L","104","Atomic Brands","0","James Dennis Heagney",
="18641","Monaco Classic Margarita 6Pk","0","2.13L","104","Atomic Brands","0","James Dennis Heagney",
="18643","Kentucky Coffee","0",".75L","80","Atomic Brands","0","James Dennis Heagney",
="18644","Arette Clasica Blanco","0","700ML","75","T Edward Wines","0","Mark Fitlin",
="18645","Arette Clasica Reposado","0","700ML","75","T Edward Wines","0","Mark Fitlin",
="18646","Arette Artesanal Suave Anejo","0",".75L","80","T Edward Wines","0","Mark Fitlin",
="18647","Arette Artesanal Suave Blanco","0",".75L","80","T Edward Wines","0","Mark Fitlin",
="18648","Arette Artesanal Suave Fuerte","0",".75L","80","T Edward Wines","0","Mark Fitlin",
="18649","Arette Artesanal Suave Reposado","0",".75L","80","T Edward Wines","0","Mark Fitlin",
="18650","Blanton's Gold Single Barrel Select (BTB)","0",".75L","90","Sazerac Co.","0","Rick Henry",
="18651","Don Julio 3Pk VAP","0","1.125L","24","Diageo NA","0","Garrett Miller",
="18652","Nikka Yoichi Single Malt Whisky","0",".75L","110","Hotaling & Co.","0","Barry Sessoms",
="18653","Nikka Miyagikyo Single Malt Whisky","0",".375L","110","Hotaling & Co.","0","Barry Sessoms",
="18654","Luxardo Espresso Liqueur","0",".75L","60","Hotaling & Co.","0","Barry Sessoms",
="18655","Savage & Cooke Single Barrel Bourbon NC #1","0",".75L","40","Savage & Cooke","0","Jason Lemansky",
="18656","Savage & Cooke Single Barrel Rye NC #1","0",".75L","40","Savage & Cooke","0","Jason Lemansky",
="18657","Notaboo E.T. 51 Espresso Vodka","0",".75L","75","American Spirits Exchange","0","Bruce DeBlock",
="18658","Dancing Goat Presents Maized & Confused","0",".75L","100","MHW/ Dancing Goat Distillery","0","Mark Fitlin",
="18659","Limousin Rye 9Y Ltd Release","0",".75L","100","MHW/ Dancing Goat Distillery","0","Mark Fitlin",
="18660","Pluma Negra Espadin Mezcal (80 Proof)","0",".75L","120","Cultured Spirits","0","Mark Fitlin",
="18661","Mountaineer","0",".75L","120","Cultured Spirits","0","Mark Fitlin",
="18662","Bushwood Looper Vodka","0",".75L","92","American Spirits Exchange","0","Jason Lemansky",
="18663","Yellow Spot","0",".75L","115","Pernod Ricard USA","0","Jack Wooten",
="18664","Bacardi Mango Chile","0","50ML","112","Bacardi USA","0","Barry Sessoms",
="18665","OYO Double Cask Oloroso Wheat","0",".75L","80","Middle West Spirits","0","Jason Lemansky",
="18666","Oceano Azul Grim Reaper Anejo Tequila","0","1.00L","25","Quality Distributor","0","Jeffrey A. Morse, Jr.",
="18667","El Faro Extra Aged Anejo","0","1.00L","32","Quality Distributor","0","Jeffrey A. Morse, Jr.",
="18668","Dona Victoria Extra Anejo Tequila","0",".75L","55","Quality Distributor","0","Jeffrey A. Morse, Jr.",
="18669","Keeper's Heart Irish American Alchemy NC #1","0","700ML","45","MHW/ O'Shaughnessy Distilling","0","Jason Lemansky",
="18670","Keeper's Heart Irish  American PX Sherry NC #2","0","700ML","45","MHW/ O'Shaughnessy Distilling","0","Jason Lemansky",
="18671","Keeper's Heart Irish  American Virgin Oak NC #3","0","700ML","45","MHW/ O'Shaughnessy Distilling","0","Jason Lemansky",
="18672","The GlenAllachie 10Y Batch 8","0","700ML","100","ImpEx Beverages, Inc.","0","Mark Fitlin",
="18673","Pokeno Origin New Zealand Single Malt Whisky","0","700ML","115","ImpEx Beverages, Inc.","0","Mark Fitlin",
="18674","Indri Trini Single Malt Indian Whisky","0",".75L","76","ImpEx Beverages, Inc.","0","Mark Fitlin",
="18675","Hakata Whisky 10Y Sherry Cask","0","700ML","80","ImpEx Beverages, Inc.","0","Mark Fitlin",
="18676","Fukano Distillery Whisky 2223 Edition","0",".75L","110","ImpEx Beverages, Inc.","0","Mark Fitlin",
="18677","Lemon Hart 151 Rum","0",".75L","56","ImpEx Beverages, Inc.","0","Mark Fitlin",
="18678","Ardnamurchan Highland Single Malt Whisky","0","700ML","80","ImpEx Beverages, Inc.","0","Mark Fitlin",
="18679","Oyo Double Cask Sherry-Finished Bourbon","0",".75L","80","Middle West Spirits","0","Jason Lemansky",
="18680","Old Elk Cigar Cut Island Blend","0",".75L","100","Old Elk Distillery","0","Barry Sessoms",
="18681","Maria Bonita Mezcal","0",".75L","78","Casa 1921","0","Mark Fitlin",
="18682","1921 Tequila Cream","0","50ML","128","Casa 1921","0","Mark Fitlin",
="18683","Old Fitzgerald 8Y BIB Decanter 2023","0",".75L","88","Heaven Hill","0","Nick Pourasef",
="18684","Patron El Alto","0",".75L","39","Bacardi USA","0","Barry Sessoms",
="18685","Patrón Ahumado Reposado","0",".75L","84","Bacardi USA","0","Barry Sessoms",
="18686","Patrón Ahumado Silver","0",".75L","84","Bacardi USA","0","Barry Sessoms",
="18687","World Whiskey Society Unicorn 10Y KY Bourbon","0",".75L","30","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="18688","Devil's Due Distillery Root Beer Bourbon","0",".75L","96","Devils Due Distillery","0","Jason Lemansky",
="18689","Old Hillside Straight Bourbon Founder's Select","0",".75L","100","Old Hillside Bourbon Company","0","Jason Lemansky",
="18690","Tres Generaciones Legacy 50th Anniversary Anejo","80",".75L","45","Beam Suntory","0","Bill York",
="18691","On the Rocks Espresso Martini","230",".75L","100","Beam Suntory","0","Bill York",
="18692","On the Rocks Jalapeno Pineapple Margarita","0",".75L","100","Beam Suntory","0","Bill York",
="18693","Jeppson's Malort","0",".75L","70","CH Distillery","0","Mark Fitlin",
="18694","Four Roses Limited Edition Small Batch 2023","0",".75L","80","Four Roses Distillery","0","Nick Pourasef",
="18695","Loud Lemon Cranberry Sunrise 4PK","0","1.42L","90","American Spirits Exchange","0","Jeffrey A. Morse, Jr.",
="18696","Loud Lemon Peach Mango Dream 4PK","0","1.42L","90","American Spirits Exchange","0","Jeffrey A. Morse, Jr.",
="18697","Smirnoff Red White and Merry","551",".75L","70","Diageo NA","0","Garrett Miller",
="18698","Nelson Bros. Cognac Cask Whiskey","0",".75L","100","Constellation Brands","0","Bill York",
="18699","Bardstown Bourbon Collab Series Goose Island","297",".75L","112","Bardstown Bourbon Company","0","Nick Pourasef",
="18700","Aultmore 32Y Single Malt in Baccarat Crystal","0",".75L","10","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="18701","Strathmill 32Y Single Malt in Baccarat Crystal","0",".75L","10","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
="18702","Handy & Schiller Manhattan","437",".75L","65","Sazerac Co.","0","Rick Henry",
="18703","Talisker Special Release 2023","0",".75L","80","Diageo NA","0","Garrett Miller",
="18704","Roseisle 12Y","0",".75L","80","Diageo NA","0","Garrett Miller",
="18705","Oban 11Y","0",".75L","80","Diageo NA","0","Garrett Miller",
="18706","Mortlach Special Release 2023","0",".75L","48","Diageo NA","0","Garrett Miller",
="18707","Johnnie Walker Blue Elusive Umami","0",".75L","60","Diageo NA","0","Garrett Miller",
="18708","Oprhan Barrel Castle's Curse 14Y","0",".75L","100","Diageo NA","0","Garrett Miller",
="18709","Crown Royal 30Y Extra Rare","0",".75L","60","Diageo NA","0","Garrett Miller",
="18710","Don Julio Reposado w/ 2 GLS","0",".75L","24","Diageo NA","0","Garrett Miller",
="18711","Espolon Blanco","98",".375L","128","Campari America","0","Barry Sessoms",
="18712","Bols Cocktails VAP","0","800ML","45","MHW/ Lucas Bols","0","Lauren Wiseman",
="18713","Notaboo E.T.51 Premium Whiskey VAP","0",".75L","80","American Spirits Exchange","0","Bruce DeBlock",
="18714","F Marion Straight Bourbon","0",".75L","84","Swamp Fox Distilling Co","0","Jason Lemansky",
="18715","King's Town Straight Rye","0",".75L","84","Swamp Fox Distilling Co","0","Jason Lemansky",
="18716","Southern Secret Moonshine","0",".75L","84","Swamp Fox Distilling Co","0","Jason Lemansky",
="18717","Devil's Due Distillery Maple Whiskey","0",".75L","96","Devils Due Distillery","0","Jason Lemansky",
="18718","Devil's Due Distillery Premium Vodka","0",".75L","96","Devils Due Distillery","0","Jason Lemansky",
="18719","Devil's Due Distillery Rye Whiskey","0",".75L","96","Devils Due Distillery","0","Jason Lemansky",
="18720","Devil's Due Distillery Straight Bourbon Whiskey","0",".75L","96","Devils Due Distillery","0","Jason Lemansky",
="18721","Buzzard's Roost Cigar Rye","0",".75L","116","Buzzard's Roost Spirits","348","Jason Lemansky",
="18722","Il Tramonto Limoncello","0","50ML","48","Associated Brewing","0","Jason Lemansky",
