"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","0",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","270",".75L","120","Edrington Americas","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","1",".75L","100","Infinium Spirits","0","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","0","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","0",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","37",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","0",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","14",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","347",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","11",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","169",".75L","63","Park St Imp/ Trinity Beverage","1","Curtis Toth",
="00202","Ardbeg Corryvreckan","42",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","53",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","48",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","17",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","3",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","43",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","129",".75L","110","Beam Suntory","110","Bill York",
="00218","Bruichladdich Port Charlotte 10Y","28",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00219","Bruichladdich Classic Laddie Scottish Barley","72",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00221","Ben Riach 10Y","58",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00222","Bruichladdich Islay Barley","49",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00225","The Macallan Rare Cask","24",".75L","48","Edrington Americas","48","Lauren Wiseman",
="00226","Aberlour A'Bunadh","0",".75L","52","Pernod Ricard USA","52","Jack Wooten",
="00227","The Dalmore 15Y","211",".75L","75","E & J Gallo Winery","75","Donavan Campbell",
="00229","The Dalmore Port Wood Reserve","46",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00231","The Dalmore Cigar Malt Reserve","51",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00237","GlenDronach 15Y Revival","0",".75L","100","Brown - Forman","50","Lauren Wiseman",
="00411","Hangar One Straight","61",".75L","56","WI, Inc","56","Lauren Wiseman",
="00659","D'Usse XO Cognac","2",".75L","25","Bacardi USA","30","Barry Sessoms",
="00668","Remy Martin Tercet","22",".75L","70","Remy Cointreau USA","0","Lauren Wiseman",
="00703","Grand Marnier 100Y","0",".75L","60","Campari America","60","Barry Sessoms",
="00707","Agavero Orange Tequila Liqueur","72",".75L","39","WI, Inc","64","Lauren Wiseman",
="00710","Cynar","87","1.00L","44","Campari America","44","Barry Sessoms",
="00806","Santo Fino Reposado","186",".75L","152","Shaw-Ross International","152","Barry Sessoms",
="00807","Adictivo Extra Anejo","133",".75L","156","Marsalle/Stoller Imports","156","Jeffrey A. Morse, Jr.",
="00810","Jose Cuervo Reserva de Familia","94",".75L","100","Proximo Spirits","100","Lauren Wiseman",
="00820","Mezcal Vago Elote","86",".75L","40","Heaven Hill","40","Nick Pourasef",
="00823","Patron Reposado","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00824","Patron Anejo","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00825","Los Vecinos Mezcal","90",".75L","112","Sazerac Co.","112","Rick Henry",
="00827","Casa Dragones 16 Joven Tequila","11",".75L","96","MHW/ Casa Dragones","96","Bill York",
="00832","Azteca Azul Plata","16",".75L","120","Global Beverage Team LLC","0","Donavan Campbell",
="19371","Clase Azul Plata","0",".75L","48","Tequilas Premium","0","Barry Sessoms",
="19372","Little Book Chapter 5 "The Invitation"","0",".75L","52","Beam Suntory","0","Bill York",
="19373","Maker's Mark Wood Finishing Series FAE 2","0",".75L","85","Beam Suntory","0","Bill York",
="19375","Glenmorangie Tale of Winter GB","0",".75L","110","Moet Hennessy","0","Garrett Miller",
="19378","Ciroc Pomegranate","0",".75L","60","Diageo NA","0","Garrett Miller",
="19388","Blackened X Willett","0",".75L","92","MHW/ Sweet Amber Ventures","0","Nick Pourasef",
="19389","Middle West Dark Pumpernickel Rye","41",".75L","80","Middle West Spirits","0","Jason Lemansky",
="19390","Don Julio 1942 Ultima Reserva","4",".75L","21","Diageo NA","0","Garrett Miller",
="19391","Don Julio Reposado Primavera","0",".75L","80","Diageo NA","0","Garrett Miller",
="19398","Foursquare 2009 Rum","0",".75L","80","Altamar Brands LLC","240","Nick Pourasef",
="19410","Amador D. B. Cabernet Barrel Finish","0",".75L","100","Trinchero Family Estates","300","Nick Pourasef",
="19411","Russell's Reserve 13Y","0",".75L","120","Campari America","360","Barry Sessoms",
="19421","Smirnoff 80 w/ 50ML","156","1.75L","44","Diageo NA","132","Garrett Miller",
="19429","NC Creek Water Mud Mouth Coffee Whiskey RTD","0",".355L","19","MHW/ Creekwater","57","Amy Edwards",
="19430","BBC Collaborative Series Plantation Rum","0",".75L","100","Bardstown Bourbon Company","300","Nick Pourasef",
="19450","Weller Special Reserve","0",".75L","50","Sazerac Co.","150","Rick Henry",
="19493","Larios Rose","322","700ML","140","Beam Suntory","420","Bill York",
="19494","Larios Premium Gin","560","700ML","140","Beam Suntory","420","Bill York",
="19497","Country Smooth Sm Batch Bourbon Wsk","14",".75L","120","Country Smooth Spirits","360","Jason Lemansky",
="19498","Royal Portrush Open Course Coll. SM Scotch","84",".75L","44","Randolph Importing","132","Jason Lemansky",
="19509","Pinhook Bourbon (High Proof)","4",".75L","21","Pinhook Bourbon","0","Nick Pourasef",
="19553","A. Smith Bowman Cask Strength","0",".75L","120","Sazerac Co.","0","Rick Henry",
="19554","E.H. Taylor Jr. Warehouse C","2",".75L","51","Sazerac Co.","0","Rick Henry",
="19555","Roca Patron Reposado","0",".375L","48","Bacardi USA","0","Barry Sessoms",
="19565","Sombra Mezcal Reposado","2",".75L","80","Diageo NA","0","Barry Sessoms",
="19570","Pikesville Rye Whiskey","0",".75L","90","Heaven Hill","0","Nick Pourasef",
="19573","Calumet Farm 15Y Old Bourbon","0",".75L","88","Western Spirits Bev Co.","0","Donavan Campbell",
="19579","Maker's Mark 46 Cask & Priv. Sel. 375ML CoPk","77",".75L","40","Beam Suntory","0","Bill York",
="19580","Jim Beam W/ Highball Glass","0",".75L","45","Beam Suntory","0","Bill York",
="19581","Jim Beam Peach W/ Highball GLS","0",".75L","45","Beam Suntory","0","Bill York",
="19582","Jefferson's Ocean Aged at Sea","0",".375L","98","Pernod Ricard USA","0","Jack Wooten",
="19583","Tia Maria Cold Brew Coffee Frappe 4Pk","0","800ML","150","Disaronno International","0","Lauren Wiseman",
="19585","Mamitas Tequila and Soda Pineapple 4Pk","216","1.42L","104","Phusion Projects","0","Bill York",
="19586","Cutwater Vodka Soda Variety 8Pk","192","2.84L","100","Sazerac Co.","0","Donavan Campbell",
="19587","Cutwater Vodka Mule 4Pk","143","1.42L","100","Sazerac Co.","0","Donavan Campbell",
="19588","Cutwater Tequila Variety 6Pk","179","2.13L","100","Sazerac Co.","0","Donavan Campbell",
="19589","Cutwater Lime Margarita 4Pk","44","1.42L","100","Sazerac Co.","0","Donavan Campbell",
="19593","Tia Maria Matcha","113",".75L","50","Disaronno International","0","Lauren Wiseman",
="19594","Svedka Cherry Limeade","107","50ML","102","Constellation Brands","306","Bill York",
="19595","Ciroc Celebration VAP W/ 3x 50ml","0",".75L","32","Diageo NA","0","Garrett Miller",
="19603","JP Wiser's 23Y","0",".75L","50","Sazerac Co.","0","Barry Sessoms",
="19605","Bacardi Variety RTD 6Pk","0","2.13L","104","Bacardi USA","0","Barry Sessoms",
="19606","Bacardi Bahama Mama RTD 4Pk","0","1.42L","104","Bacardi USA","0","Barry Sessoms",
="19607","Hine Rare VSOP","0",".75L","105","Hotaling & Co.","0","Barry Sessoms",
="19608","Old Elk Sour Mash Small Batch Res","0",".75L","54","Old Elk Distillery","0","Barry Sessoms",
="19609","Lock Stock & Barrel 20Y","0",".75L","152","The Cooper Spirits Co.","0","Barry Sessoms",
="19611","Courage & Conviction Sherry Cask","3",".75L","80","Park St Imp/ Virginia Distillery","0","Lauren Wiseman",
="19612","Courage & Conviction Cuvee Cask","2",".75L","80","Park St Imp/ Virginia Distillery","0","Lauren Wiseman",
="19613","Courage & Conviction Bourbon Cask","4",".75L","80","Park St Imp/ Virginia Distillery","0","Lauren Wiseman",
="19614","Five Farms Irish Cream","36","50ML","165","McCormick Distilling Co.","0","Donavan Campbell",
="19615","The All Malt Bourbon Whiskey","0",".75L","40","Weldon Mills Distillery","0","Bruce Tyler",
="19616","The Club Long Island Iced Tea 4Pk","382","800ML","165","Sazerac Co.","0","Barry Sessoms",
="19617","Tito's Handmade Vodka","1067","1.00L","55","Fifth Generation","0","Donavan Campbell",
="19620","Caribou Crossing","0",".75L","198","Sazerac Co.","0","Rick Henry",
="19622","Maker's Mark Wood Finishing Series 2021","0",".75L","85","Beam Suntory","0","Bill York",
="19623","Redbreast 27Y","0",".75L","72","Pernod Ricard USA","0","Jack Wooten",
="19626","Red Spot","0",".75L","80","Pernod Ricard USA","0","Jack Wooten",
="19628","George Dickel Single Barrel 15Y","339",".75L","45","Diageo NA","0","Garrett Miller",
="19629","Smooth Ambler Old Scout Rye","0",".75L","96","Pernod Ricard USA","0","Jack Wooten",
="19636","Party Can:Triple Spice Margarita","191","1.75L","90","MHW/ CNI Brands","0","Jason Lemansky",
="19640","Stoli elit","0",".375L","77","Stoli Group USA","0","Donavan Campbell",
="19642","Capt. Morgan Spiced 70 w/ 50ML","0","1.75L","40","Diageo NA","0","Garrett Miller",
="19643","Ketel One w/ Filthy Olives","0","1.75L","56","Diageo NA","0","Garrett Miller",
="19651","Maker's Mark","359","1.00L","42","Beam Suntory","0","Bill York",
="19653","NC Conniption Barrel Aged Gin","0",".75L","39","Durham Distillery","0","Melissa Katrincic",
="19659","Blanton's Straight From The Barrel","0",".75L","90","Sazerac Co.","0","Rick Henry",
="19661","JP Wiser's 35Y","0",".75L","100","Sazerac/ 375 Park Ave Spirits","0","Barry Sessoms",
="19662","Patron Anejo Sherry Cask","0",".75L","21","Bacardi USA","0","Barry Sessoms",
="19663","Tenjaku Pure Malt Whisky","0",".75L","120","MHW/ Tenjaku","0","Bill York",
="19664","Kinky Red Liqueur","0","50ML","160","Associated Brewing","0","Jason Lemansky",
="19688","Courage & Conviction","0","50ML","104","Park St Imp/ Virginia Distillery","0","Lauren Wiseman",
="19708","Wild Turkey Rare Breed Rye","0",".75L","120","Campari America","0","Barry Sessoms",
="19709","Maker's Mark 46 Cask Strength","25",".75L","102","Beam Suntory","0","Bill York",
="19710","Weller Single Barrel","34",".75L","100","Sazerac Co.","0","Rick Henry",
="19710","Weller Single Barrel","0",".75L","100","Sazerac Co.","0","Rick Henry",
="19711","Knob Creek 15 Year","0",".75L","64","Beam Suntory","0","Bill York",
="19713","Elijah Craig Toasted Barrel","0",".75L","70","Heaven Hill","0","Nick Pourasef",
="19724","Broken Shed Vodka (1L)","0","1.00L","88","MHW/ Broken Shed","0","Bill York",
="19730","Blanton's Gold Bourbon","0",".75L","90","Sazerac Co.","0","Rick Henry",
="19731","Bulleit Bourbon Single Barrel","118",".75L","66","Diageo NA","0","Garrett Miller",
="19735","Bird Dog Black Cherry VAP","355",".75L","105","Western Spirits Bev Co.","0","Donavan Campbell",
="19739","Glenmorangie Cadboll Estate","0",".75L","110","Moet Hennessy","0","Garrett Miller",
="19742","Crystal Head Rainbow Pride","0",".75L","60","Infinium Spirits","0","Lauren Wiseman",
="19744","Blended Malt Whiskey Release 06","0",".375L","15","Oak & Grist Distilling Co.","0","William Goldberg",
="19745","Cragganmore Distillers Edition 12Y","0",".75L","92","Diageo NA","0","Garrett Miller",
="19749","Van Gogh Classic Goghgirl Vodka","0",".75L","140","MHW/ Conecuh Ridge","0","Donavan Campbell",
="19755","Capt. Morgan Orange Vanilla Twist","0",".75L","70","Diageo NA","0","Garrett Miller",
="19763","Western Son 50ml Variety VAP","0","500ML","144","Western Son Distillery","0","Jason Lemansky",
="19774","Larceny Barrel Proof","0",".75L","245","Heaven Hill","0","Nick Pourasef",
="19784","Kentucky Owl Bourbon Batch 10","0",".75L","112","Stoli Group USA","0","Donavan Campbell",
="19785","Ardbeg 19Y","0",".75L","100","Moet Hennessy","0","Garrett Miller",
="19791","Weller Full Proof","0",".75L","100","Sazerac Co.","0","Rick Henry",
="19794","WhistlePig 18Y Double Malt","0",".75L","68","WhistlePig","0","Jason Lemansky",
="19795","Notaboo E.T. 51 Espresso Vodka","76",".375L","120","American Spirits Exchange","0","Bruce DeBlock",
="19798","Kentucky Owl Straight Rye Batch 4","0",".75L","104","Stoli Group USA","0","Donavan Campbell",
="19809","Crystal Head Patriot Pkg","0","150ML","54","Infinium Spirits","0","Lauren Wiseman",
="19813","El Tesoro Extra Anjeo","0",".75L","68","Beam Suntory","0","Bill York",
="19815","El Mayor Cristalino 100% Agave","0",".75L","132","Luxco","0","Donavan Campbell",
="19826","Jameson Black Barrel w/ GLS","0",".75L","40","Pernod Ricard USA","0","Jack Wooten",
="19834","Maker’s Mark Wood Fin Series (SE4 X PR5)","0",".75L","85","Beam Suntory","0","Bill York",
="19866","Patron Extra Anejo","0",".375L","70","Bacardi USA","0","Barry Sessoms",
="19871","Notaboo E.T. 51","8","50ML","90","American Spirits Exchange","0","Bruce DeBlock",
="19894","Rua Sherry Cask","0",".75L","43","Great Wagon Road Distilling","0","Oliver Mulligan",
="19915","Fireball 50ML Party Bucket","190","1.00L","24","Sazerac Co.","0","Rick Henry",
="19922","Notaboo E.T. 51","52",".75L","120","American Spirits Exchange","0","Bruce DeBlock",
="19925","Maker's Mark w/ Shaker","0",".75L","35","Beam Suntory","0","Bill York",
="19926","Fireball Cinnamon Whisky PET","221","1.75L","70","Sazerac Co.","0","Rick Henry",
="19928","99 50ML Party Bucket","98","1.00L","24","Sazerac Co.","192","Rick Henry",
="19930","Chi Chi's Margarita","182","200ML","117","Sazerac Co.","0","Rick Henry",
="19931","Platinum 7X - 10Pk","269","50ML","102","Sazerac Co.","0","Rick Henry",
="19945","Henry McKenna Single Barrel","0",".75L","64","Heaven Hill","0","Nick Pourasef",
="19953","Basil Hayden's Caribbean Rye","0",".75L","96","Beam Suntory","0","Bill York",
="19955","George Dickel Bottled in Bond","0",".75L","50","Diageo NA","0","Garrett Miller",
="19962","Barrel Reserve Dark Rhythm Gin","12",".75L","30","Oak & Grist Distilling Co.","0","William Goldberg",
="19977","1792 12Y","0",".75L","102","Sazerac Co.","0","Barry Sessoms",
="19994","Ciroc White Grape","0",".75L","60","Diageo NA","0","Garrett Miller",
="19995","Bailey's Red Velvet Cupcake","0",".75L","55","Diageo NA","0","Garrett Miller",
="19996","Lagavulin Offerman Guinness Cask Ed","0",".75L","115","Diageo NA","0","Garrett Miller",
="19999","Cruzan Watermelon","41",".75L","56","Beam Suntory","0","Bill York",
="20020","Elijah Craig Barrel Proof Small Batch","0",".75L","70","Heaven Hill","0","Nick Pourasef",
="20022","High West A Midwinter Nights Dram","0",".75L","112","Constellation Brands","0","Bill York",
="20027","Old Ezra Brooks 7Y","0",".75L","120","Luxco","0","Donavan Campbell",
="20028","Kentucky Owl Straight Rye","0",".75L","104","Stoli Group USA","0","Donavan Campbell",
="20029","Elijah Craig 18Y","0",".75L","160","Heaven Hill","0","Nick Pourasef",
="20036","Basil Hayden's 10Y","0",".75L","96","Beam Suntory","0","Bill York",
="20046","Redbreast 21Y","0",".75L","152","Pernod Ricard USA","0","Jack Wooten",
="20066","Mozart Pumpkin Spice Liqueur","0",".75L","80","Marussia Beverages USA","0","Lauren Wiseman",
="20074","Jim Beam 4Y PET w/ 50ml","0","1.75L","52","Beam Suntory","0","Bill York",
="20095","Glenmorangie Taster Pack","1","400ML","88","Moet Hennessy","0","Garrett Miller",
="20113","Courvoisier Avant-Garde","0",".75L","96","Beam Suntory","0","Bill York",
="20121","Remy Martin VSOP w/ 1738 50ml","0",".75L","54","Remy Cointreau USA","0","Lauren Wiseman",
="20129","The Macallan Classic Cut","0",".75L","104","Edrington Americas","0","Lauren Wiseman",
="20148","Fulton's Harvest Pumpkin Pie Cream Liqueur","173",".75L","55","Heaven Hill","0","Nick Pourasef",
="20158","John Walker & Sons 200th Anniversary","0",".75L","104","Diageo NA","0","Garrett Miller",
="20159","John Walker & Sons Bicentenary Blend 28Y","0",".75L","36","Diageo NA","0","Garrett Miller",
="20160","NC Cherry Bounce Whiskey","0",".75L","30","South Mountain Distilling","0","Donald Smith",
